,0
2474,0.004
3899,0.004
3920,0.004
3928,0.004
3934,0.004
2438,0.004
3951,0.004
2631,0.004
3461,0.004
2977,0.004
2841,0.004
3013,0.004
3018,0.004
2823,0.004
2815,0.004
3076,0.004
2793,0.004
6961,0.004
2785,0.004
2524,0.004
3734,0.004
3724,0.004
3511,0.004
6908,0.004
6909,0.004
6910,0.004
6916,0.004
6957,0.004
5240,0.004
5212,0.004
1929,0.004
3508,0.004
3515,0.004
3693,0.004
3525,0.004
3542,0.004
3556,0.004
3606,0.004
3607,0.004
2573,0.004
2570,0.004
3637,0.004
2563,0.004
1231,0.004
5922,0.004
1497,0.004
1514,0.004
4,0.004
197,0.004
65,0.004
9542,0.004
9451,0.004
9421,0.004
35,0.004
9795,0.004
9240,0.004
9491,0.004
9817,0.004
9350,0.004
2882,0.004
9219,0.004
5742,0.004
5760,0.004
5764,0.004
5765,0.004
5774,0.004
5839,0.004
5851,0.004
69,0.004
9610,0.004
9985,0.004
9605,0.004
2754,0.004
9915,0.004
9773,0.004
9345,0.004
133,0.004
9352,0.004
9469,0.004
9712,0.004
9468,0.004
240,0.004
9829,0.004
9384,0.004
44,0.004
112,0.004
9418,0.004
9971,0.004
275,0.004
219,0.004
269,0.004
9800,0.004
1675,0.004
5880,0.004
5919,0.004
5616,0.004
5402,0.004
5448,0.004
5478,0.004
1818,0.004
5525,0.004
5544,0.004
5553,0.004
5558,0.004
5608,0.004
5621,0.004
1847,0.004
5624,0.004
5625,0.004
5634,0.004
5642,0.004
5668,0.004
5686,0.004
5706,0.004
1736,0.004
5275,0.004
5399,0.004
1854,0.004
5924,0.004
6172,0.004
5931,0.004
5968,0.004
9237,0.004
6015,0.004
6027,0.004
6073,0.004
6113,0.004
6117,0.004
1570,0.004
6199,0.004
5347,0.004
6212,0.004
1533,0.004
5739,0.004
6249,0.004
5722,0.004
5711,0.004
1892,0.004
1891,0.004
5329,0.004
3147,0.004
3495,0.004
3194,0.004
8501,0.004
7331,0.004
8387,0.004
8346,0.004
8324,0.004
8243,0.004
710,0.004
8263,0.004
8275,0.004
8323,0.004
692,0.004
668,0.004
834,0.004
8136,0.004
8113,0.004
7953,0.004
7974,0.004
8571,0.004
8552,0.004
7996,0.004
799,0.004
599,0.004
8360,0.004
8362,0.004
8183,0.004
7805,0.004
462,0.004
7801,0.004
8808,0.004
484,0.004
8772,0.004
7841,0.004
8758,0.004
8749,0.004
491,0.004
7807,0.004
8178,0.004
7820,0.004
8713,0.004
8709,0.004
8752,0.004
8839,0.004
7946,0.004
8609,0.004
8386,0.004
8176,0.004
8126,0.004
8472,0.004
7780,0.004
8063,0.004
9048,0.004
9055,0.004
7633,0.004
1045,0.004
7568,0.004
1041,0.004
7432,0.004
7363,0.004
1067,0.004
9163,0.004
9200,0.004
419,0.004
7548,0.004
7360,0.004
301,0.004
7401,0.004
8914,0.004
9155,0.004
7494,0.004
7709,0.004
3253,0.004
7435,0.004
367,0.004
7440,0.004
8950,0.004
8074,0.004
8446,0.004
8434,0.004
8111,0.004
8048,0.004
7757,0.004
8315,0.004
7498,0.004
344,0.004
7414,0.004
7573,0.004
7572,0.004
8957,0.004
948,0.004
9004,0.004
7420,0.004
7637,0.004
7635,0.004
9025,0.004
7495,0.004
461,0.004
782,0.004
512,0.004
4094,0.004
4908,0.004
4914,0.004
4917,0.004
4979,0.004
4993,0.004
5008,0.004
5011,0.004
5015,0.004
5042,0.004
5049,0.004
5051,0.004
5053,0.004
5056,0.004
5079,0.004
1970,0.004
5141,0.004
1941,0.004
2093,0.004
2099,0.004
2103,0.004
2110,0.004
4890,0.004
4861,0.004
4813,0.004
3396,0.004
3271,0.004
8293,0.004
3291,0.004
3298,0.004
3319,0.004
3354,0.004
3365,0.004
2681,0.004
2679,0.004
3426,0.004
4800,0.004
2651,0.004
3454,0.004
2632,0.004
4009,0.004
2401,0.004
2396,0.004
4731,0.004
2091,0.004
4759,0.004
2377,0.004
4849,0.004
2354,0.004
4656,0.004
7330,0.004
6440,0.004
7343,0.004
7859,0.004
8692,0.004
7866,0.004
7877,0.004
520,0.004
524,0.004
7847,0.004
7891,0.004
8640,0.004
8639,0.004
541,0.004
7935,0.004
544,0.004
7937,0.004
8611,0.004
4101,0.004
8650,0.004
7944,0.004
4387,0.004
522,0.004
4375,0.004
2213,0.004
4141,0.004
4644,0.004
4157,0.004
4224,0.004
4248,0.004
4258,0.004
4379,0.004
7300,0.004
2241,0.004
4388,0.004
2337,0.004
4596,0.004
2212,0.004
4455,0.004
4490,0.004
4496,0.004
2163,0.004
4575,0.004
2144,0.004
440,0.003
3775,0.003
7142,0.003
2512,0.003
3763,0.003
2514,0.003
3750,0.003
43,0.003
3755,0.003
8865,0.003
3054,0.003
6773,0.003
2562,0.003
3641,0.003
6771,0.003
3045,0.003
2508,0.003
45,0.003
8879,0.003
2560,0.003
3639,0.003
11,0.003
7321,0.003
9151,0.003
7452,0.003
3744,0.003
8946,0.003
1159,0.003
8870,0.003
7431,0.003
7111,0.003
1257,0.003
9917,0.003
8948,0.003
7329,0.003
2614,0.003
7095,0.003
1174,0.003
3128,0.003
6875,0.003
2613,0.003
332,0.003
9916,0.003
7100,0.003
2609,0.003
6835,0.003
3635,0.003
2775,0.003
3754,0.003
9149,0.003
8872,0.003
1024,0.003
3079,0.003
9512,0.003
7112,0.003
3369,0.003
3338,0.003
3317,0.003
3342,0.003
7350,0.003
282,0.003
1233,0.003
3345,0.003
3193,0.003
175,0.003
6956,0.003
9941,0.003
369,0.003
8898,0.003
7382,0.003
377,0.003
7002,0.003
7027,0.003
7018,0.003
3269,0.003
9947,0.003
7370,0.003
9255,0.003
9952,0.003
8953,0.003
346,0.003
3336,0.003
1190,0.003
176,0.003
7454,0.003
1290,0.003
3721,0.003
426,0.003
2549,0.003
3681,0.003
7459,0.003
8888,0.003
320,0.003
3690,0.003
3063,0.003
3705,0.003
3718,0.003
2622,0.003
9113,0.003
1016,0.003
7351,0.003
6985,0.003
3320,0.003
7044,0.003
3331,0.003
7356,0.003
7049,0.003
3514,0.003
6000,0.003
3513,0.003
9717,0.003
5988,0.003
5170,0.003
9370,0.003
5985,0.003
5174,0.003
8173,0.003
5195,0.003
5974,0.003
5198,0.003
1930,0.003
5964,0.003
5223,0.003
739,0.003
5224,0.003
5126,0.003
6002,0.003
6064,0.003
5120,0.003
1601,0.003
5040,0.003
9364,0.003
7789,0.003
895,0.003
8232,0.003
1943,0.003
1946,0.003
3510,0.003
5026,0.003
6147,0.003
8314,0.003
4866,0.003
2045,0.003
7746,0.003
6141,0.003
4881,0.003
1567,0.003
4885,0.003
5022,0.003
5024,0.003
5125,0.003
5162,0.003
9946,0.003
5997,0.003
8192,0.003
5138,0.003
1624,0.003
5151,0.003
9619,0.003
5156,0.003
883,0.003
5990,0.003
7821,0.003
136,0.003
5080,0.003
5082,0.003
2591,0.003
411,0.003
2787,0.003
6850,0.003
3578,0.003
7107,0.003
14,0.003
3585,0.003
7328,0.003
3587,0.003
3588,0.003
3590,0.003
413,0.003
8223,0.003
3594,0.003
9270,0.003
3603,0.003
3605,0.003
3609,0.003
6862,0.003
9913,0.003
3085,0.003
2615,0.003
